id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
387,2025,Terraced Duplex,5,5,5,1,Katampe,Abuja,"₦1,200,000,000"
388,2025,Terraced Duplex,4,Unknown,Unknown,Unknown,Galadimawa,Abuja,"₦135,000,000"
389,2025,Detached Duplex,7,8,8,5,Asokoro District,Abuja,"₦1,300,000,000"
390,2025,Detached Duplex,5,Unknown,Unknown,Unknown,Jahi,Abuja,"₦400,000,000"
391,2025,Terraced Duplex,4,Unknown,5,3,Mabushi,Abuja,"₦200,000,000"
392,2025,Terraced Duplex,4,Unknown,5,3,Mabushi,Abuja,"₦200,000,000"
393,2025,Detached Duplex,5,5,5,Unknown,Lokogoma District,Abuja,"₦140,000,000"
394,2025,Detached Duplex,4,4,4,Unknown,Lugbe District,Abuja,"₦160,000,000"
395,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
396,2025,Detached Duplex,5,6,6,5,Apo,Abuja,"₦450,000,000"
397,2024,Detached Duplex,5,5,6,Unknown,Katampe,Abuja,"₦400,000,000"
398,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
399,2024,Detached Duplex,5,Unknown,5,4,Jahi,Abuja,"₦350,000,000"
400,2025,Flat / Apartment,2,Unknown,2,Unknown,Wuse,Abuja,"₦65,000,000"
401,2024,Detached Duplex,6,Unknown,Unknown,Unknown,Asokoro District,Abuja,"₦850,000,000"
402,2025,Flat / Apartment,3,Unknown,4,Unknown,Katampe,Abuja,"₦90,000,000"
403,2024,Detached Duplex,6,6,7,3,Asokoro District,Abuja,No price available
404,2024,Detached Duplex,5,5,6,Unknown,Apo,Abuja,"₦500,000,000"
405,2025,Terraced Duplex,5,Unknown,Unknown,Unknown,Kado,Abuja,"₦315,000,000"
406,2024,Flat / Apartment,2,2,3,Unknown,Guzape District,Abuja,"₦150,000,000"
407,2025,Terraced Duplex,4,Unknown,Unknown,Unknown,Life Camp,Abuja,"₦160,000,000"
408,2025,Flat / Apartment,3,Unknown,Unknown,Unknown,Life Camp,Abuja,"₦95,000,000"
